img_num,original_output,modified_output
391,0.680904657,0.876229452
392,0.840875789,0.770774682
393,0.753503193,0.840788281
394,0.775677661,0.799595065
395,0.777084079,0.746478506
396,0.733079475,0.723062716
397,0.487013259,0.647326616
398,0.745164128,0.76652556
399,0.724930597,0.818310765
400,0.587209885,0.59077098
401,0.841359984,0.799092476
402,0.768708719,0.731963742
403,0.725748241,0.832819685
404,0.635788157,0.826264731
405,0.759011882,0.7707231
406,0.589398106,0.649212376
407,0.792990838,0.90425436
408,0.633259722,0.707757001
409,0.677349835,0.72419039
410,0.811533141,0.860819585
411,0.787736546,0.86995771
412,0.607145277,0.82414205
413,0.581778368,0.648219038
414,0.712106412,0.744150703
415,0.731980745,0.693677547
416,0.612883091,0.723659702
417,0.746714688,0.778037567
418,0.739117431,0.796155906
419,0.774850204,0.750017828
420,0.845189562,0.835212751
421,0.737527691,0.843963538
422,0.671140916,0.602872405
423,0.830160994,0.863737872
424,0.693966258,0.886466426
425,0.63069634,0.82712508
426,0.818193638,0.847130417
427,0.698372186,0.740210834
428,0.770537878,0.774106905
429,0.550976858,0.686182969
430,0.681883511,0.578128997
431,0.854487834,0.887111875
432,0.715441899,0.76223703
433,0.502341447,0.623122809
434,0.471617147,0.519362075
435,0.767084766,0.68513776
436,0.77122686,0.828015857
437,0.86158841,0.87734813
438,0.780682444,0.796103866
439,0.736119768,0.820186089
440,0.784011572,0.89083415
441,0.468712205,0.531860562
442,0.791962605,0.84597359
443,0.687435563,0.797427169
444,0.802151798,0.807576334
445,0.53337278,0.567173639
446,0.562518556,0.694355097
447,0.667773065,0.634255033
448,0.809079551,0.93631375
449,0.709761264,0.847953282
450,0.735764878,0.695653823
451,0.800142792,0.805879125
452,0.864850858,0.871496344
453,0.640995981,0.733071601
454,0.706704466,0.737431344
455,0.513972805,0.658834832
456,0.666114079,0.7104811
457,0.641708608,0.770335681
458,0.787398917,0.86611739
459,0.584753729,0.677503993
460,0.680528663,0.732167016
461,0.692026022,0.769430681
462,0.637840636,0.657726373
463,0.632763223,0.706361057
464,0.571327104,0.690413672
465,0.619589957,0.701456673
466,0.847807506,0.78350473
467,0.705849366,0.774205901
468,0.786664147,0.811622994
469,0.542543771,0.559846402
470,0.705955947,0.789368086
471,0.552270522,0.584034371
472,0.721784855,0.714760988
473,0.540611173,0.51115381
474,0.656668349,0.738864952
475,0.698132653,0.581218946
476,0.613910979,0.575964677
477,0.577461271,0.708793791
478,0.516457836,0.621068649
479,0.831456578,0.857120239
480,0.477853818,0.51848201
481,0.41455939,0.479827942
482,0.709346205,0.833516846
483,0.556968172,0.541538293
484,0.674372612,0.691224509
485,0.656850672,0.680338385
486,0.576980232,0.577007774
487,0.6173539,0.751002822
488,0.831016321,0.766427512
489,0.760165187,0.870381447
490,0.602374282,0.763694933
491,0.646772078,0.751258226
492,0.741141271,0.790336594
493,0.777551303,0.927561208
494,0.794050457,0.803208376
495,0.604003718,0.697158298
496,0.790357788,0.797493303
497,0.648361845,0.754790406
498,0.600055027,0.627818468
499,0.760368534,0.753978395
Average,0.691330817,0.735214331
